Date,SMA_Diff,SP_Diff,Mov
9/8/2013,2.90182009,-1.950073242,D
12/8/2013,2.9045401,4.690063477,D
13/8/2013,3.05698013,-8.770019531,D
14/8/2013,3.07000017,-24.07006836,U
15/8/2013,3.09920017,-5.489990234,U
16/8/2013,3.14380011,-9.769897461,U
19/8/2013,3.1970601,6.289916992,U
20/8/2013,3.26734011,-9.549926758,D
21/8/2013,3.31538009,14.15991211,U
22/8/2013,3.40820013,6.540039063,U
23/8/2013,3.47806011,-6.719970703,U
26/8/2013,3.51838017,-26.30004883,U
27/8/2013,3.61184021,4.479980469,D
28/8/2013,3.68130018,3.210083008,D
29/8/2013,3.74088022,-5.200073242,U
30/8/2013,3.77748016,6.800048828,D
3/9/2013,3.74252006,13.30993652,U
4/9/2013,3.75070007,2,D
5/9/2013,3.83758003,0.090087891,D
6/9/2013,3.72748009,16.53991699,D
9/9/2013,3.59868006,12.2800293,U
10/9/2013,3.55254002,5.140014648,D
11/9/2013,3.54807996,-5.709960938,U
12/9/2013,3.61533997,4.569946289,U
13/9/2013,3.67284002,9.609985352,U
16/9/2013,3.73268009,7.16003418,D
17/9/2013,3.76750008,20.76000977,D
18/9/2013,3.76282006,-3.180053711,U
19/9/2013,3.84082002,-12.42993164,U
20/9/2013,3.87260006,-8.070068359,D
23/9/2013,3.86046005,-4.419921875,U
24/9/2013,3.82127995,-4.650024414,U
25/9/2013,3.69881992,5.900024414,U
26/9/2013,3.64715988,-6.920043945,U
27/9/2013,3.60807979,-10.19995117,U
30/9/2013,3.55701984,13.44995117,D
1/10/2013,3.51533989,-1.130004883,D
2/10/2013,3.38579983,-15.20996094,D
3/10/2013,3.21315979,11.83996582,U
4/10/2013,3.1256197,-14.38000488,U
7/10/2013,3.13459969,-20.67004395,D
8/10/2013,3.05775974,0.950073242,D
9/10/2013,2.96219982,36.16003418,U
10/10/2013,2.8875998,10.63989258,U
11/10/2013,2.84659977,6.940063477,U
14/10/2013,2.81111969,-12.07995605,U
15/10/2013,2.83117973,23.47998047,D
16/10/2013,2.83893982,11.60998535,D
17/10/2013,2.6934599,11.34997559,U
18/10/2013,2.57387981,0.16003418,D
21/10/2013,2.41037983,10.01000977,D
22/10/2013,2.20583981,-8.290039063,D
23/10/2013,1.92215984,5.689941406,U
24/10/2013,1.63209984,7.700073242,D
25/10/2013,1.2997398,2.33996582,D
28/10/2013,0.91119976,9.83996582,U
29/10/2013,0.54761986,-8.639892578,D
30/10/2013,0.29175993,-6.770019531,U
31/10/2013,0.10974003,5.099975586,U
1/11/2013,-0.09863998,6.290039063,U
4/11/2013,-0.23077988,-4.960083008,U
5/11/2013,-0.26033982,7.520019531,D
6/11/2013,-0.37313982,-23.33996582,D
7/11/2013,-0.59801971,23.45996094,D
8/11/2013,-0.89307976,1.280029297,U
11/11/2013,-1.14607977,-4.200073242,D
12/11/2013,-1.48291973,14.31005859,U
13/11/2013,-1.80383982,8.619995117,D
14/11/2013,-2.12651988,7.560058594,D
15/11/2013,-2.47993986,-6.650024414,D
18/11/2013,-2.8336599,-3.66003418,U
19/11/2013,-3.12703985,-6.5,D
20/11/2013,-3.39129995,14.47998047,U
21/11/2013,-3.73048,8.91003418,D
22/11/2013,-4.03663996,-2.280029297,D
25/11/2013,-4.27387987,0.270019531,D
26/11/2013,-4.53065994,4.479980469,U
27/11/2013,-4.69633993,-1.419921875,U
29/11/2013,-4.82038,-4.91003418,D
2/12/2013,-4.96349989,-5.75,U
3/12/2013,-5.12285992,-2.33996582,D
4/12/2013,-5.32793987,-7.780029297,U
5/12/2013,-5.25569986,20.05993652,D
6/12/2013,-5.07467987,3.280029297,U
9/12/2013,-4.84097988,-5.75,U
10/12/2013,-4.66135992,-20.40002441,D
11/12/2013,-4.42945991,-6.719970703,U
12/12/2013,-4.20783995,-0.180053711,U
13/12/2013,-4.00469998,11.22009277,U
16/12/2013,-3.74764002,-5.540039063,U
17/12/2013,-3.31640004,29.65002441,D
18/12/2013,-2.99050005,-1.050048828,D
19/12/2013,-2.68216007,8.719970703,U
20/12/2013,-2.35200008,9.670043945,U
23/12/2013,-1.98970003,5.329956055,U
24/12/2013,-1.57076001,8.700073242,U
26/12/2013,-1.10700005,-0.619995117,D
